Player,year,grupos,x,y
R. Sallai,22,3,2.2787888690963034,3.36052947872562
L. Barreiro,22,1,-1.675380135383799,-0.42375148895787407
A. Pléa,22,3,1.9945393021709918,2.6575640760679917
S. Posch,22,2,-1.2359107783943495,-4.776826988940779
J. Beyer,22,1,-0.9335344939021845,-2.2958529112655506
J. Ryerson,22,4,2.505308652458991,0.03686919628292065
M. Reus,22,3,1.5284529274488055,2.484086491506459
M. Bakker,22,4,2.6870933828005836,0.08801558539353777
K. Jakić,22,1,-0.5438010353019442,-0.844114822016901
T. Hazard,22,3,1.5190860827939776,1.9874670259805427
A. Kramarić,22,3,2.2474902922364985,4.186138049778434
E. Forsberg,22,3,1.1167506610419944,2.591821189777467
M. Wolf,22,4,1.7155131682036475,1.0893082703573684
D. Geiger,22,1,-0.6290110281722667,-1.9265927903611222
K. Demirbay,22,1,0.8194411635438644,-2.626391891920836
R. Oxford,22,2,-3.966995859186845,-5.543218599974178
S. Bornauw,22,2,-3.1457315456578763,-5.109356090930279
A. Vranckx,22,1,-1.343079678261418,-0.2634429711409151
M. Eggestein,22,1,-1.3515133353385944,-1.2318644038552384
R. Khedira,22,1,-1.5723926518468119,-0.911214206122986
M. Gregoritsch,22,5,-2.178133890440996,6.182829334630938
N. Dorsch,22,1,-1.0791973675762208,-2.385597010243674
F. Grillitsch,22,1,0.30352242088083803,-3.6475361966097357
G. Prömel,22,1,-0.5125423639311015,0.3232483884054779
P. Jaeckel,22,2,-1.7148102572414947,-4.3991302074188585
T. Hübers,22,2,-2.886248680175607,-5.92584577034023
Paulinho,22,3,1.9732895424169068,4.571969541366643
J. Thielmann,22,4,2.855228407964234,1.4819416092810338
H. Ito,22,2,-0.713743549867328,-5.156024928744149
Tiago Tomás,22,5,0.05223171929657186,4.478708850745953
Aarón Martín,22,4,2.6399783216493318,0.0611126289909911
I. Bebou,22,5,0.05197945635488116,4.535841490581298
Y. Gerhardt,22,4,1.8637167311994003,0.15673815780360278
J. Haberer,22,1,-1.811223210967186,-0.6611564880630396
S. Ascacíbar,22,1,-1.5990148600184777,-2.4015151774617514
W. Endo,22,1,-0.05078948072006645,-1.408303392083406
L. Netz,22,4,0.8037439502870057,-0.3934195268284109
M. Hummels,22,2,-1.262851891473864,-5.974768295243742
T. Meunier,22,4,3.7049645342450392,0.4138443474011276
S. Serdar,22,3,-0.352591292376771,1.787717828583609
R. Vargas,22,3,1.1217056916184545,3.891863525636906
Omar Marmoush,22,3,0.799835309516991,4.271137594265716
M. Richter,22,3,1.9342985538496467,1.7205517721893357
A. Stiller,22,1,-0.5278886910151286,-1.5823017361108345
A. Pieper,22,2,-3.1689208939121625,-5.6971598796474385
A. Maier,22,4,0.393907632881086,0.5808941572735609
Iago,22,4,3.7735563275572566,-0.2645911477210815
Woo-Yeong Jeong,22,3,0.3453621692707007,4.416023269979477
N. Stark,22,2,-3.018082052335856,-4.422065014931228
S. Widmer,22,4,2.0942463716482647,-0.5293325201167371
L. Höler,22,5,-1.8369679024558225,5.3980410071903435
R. Knoche,22,2,-2.7836986565366697,-6.037442541001589
K. Kampl,22,1,0.13051929123002814,-2.2300675806979746
M. Friedrich,22,2,-1.7255120346151336,-4.7434688807314815
A. Witsel,22,1,-0.8566397473323822,-1.7481084381703604
K. Mbabu,22,4,3.5736875902050076,0.1804549095539114
E. Mašović,22,2,-4.115920548882375,-5.791215396342115
M. Kempf,22,2,-2.4385197881966647,-5.147147006338808
A. Karazor,22,1,-1.7053208926852492,-2.483816126787337
W. Anton,22,2,-1.154233867630635,-5.471255603395879
L. Kilian,22,2,-2.532096214983002,-5.347645321207217
F. Kainz,22,4,3.812873077056931,1.796257422765777
P. Kadeřábek,22,4,3.375812087880121,0.21830690895499522
C. Führich,22,3,1.1110443958303278,3.1535188076500433
D. Kohr,22,1,-1.1189160352448857,-2.1786858695720692
O. Duda,22,1,-0.6578882298634154,0.8830792060599983
M. Dabbur,22,5,-1.021642912107629,4.465369820538979
T. Asano,22,3,0.5496257630520911,4.0383445584630024
Jae-Sung Lee,22,3,0.23136174001300772,1.609451690484616
K. Akpoguma,22,4,2.6479703154331857,-0.4377090402270612
J. Gouweleeuw,22,2,-1.2136414317294881,-4.816506347091437
R. Gumny,22,4,1.15252512980596,-0.61614380739793
E. Rexhbecaj,22,1,-0.3427673992261604,-0.42257112549760184
S. Lainer,22,4,2.2806697439276475,-0.4862590349386791
K. Onisiwo,22,5,-0.1691431527250774,4.634959138154337
J. Hector,22,4,3.4026084189038612,-0.47943748105114725
M. Bauer,22,2,-3.429967267623947,-4.486757174044717
K. Vogt,22,2,-0.9139551648218304,-5.4331594813035915
C. Aránguiz,22,1,0.21656792961680327,-3.0789672997198085
D. Zagadou,22,2,-1.2821866257965553,-5.957926255984969
M. Leitsch,22,2,-3.9939116596080453,-5.869174563882541
G. Holtmann,22,3,2.741032992417723,3.79143719676653
J. Leweling,22,3,1.930892987624829,4.052603883004877
